                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.24329,                 0.3094,                0.25316,                0.83283,                0.98589,                0.98658,                0.99458,                0.97994,                0.98589,                0.98658,                0.99458,                0.95841,                0.18827,                0.27289,                 0.1702,                0.80194,             0.00042389,             0.00042389,             0.00042389
                     26,                0.24123,                0.30928,                0.25701,                0.83208,                0.98849,                0.99078,                0.99459,                0.97921,                0.98849,                0.99078,                0.99459,                0.95687,                0.19382,                0.27762,                 0.1639,                0.80481,             0.00041839,             0.00041839,             0.00041839
                     27,                0.23934,                0.31616,                0.25823,                0.83369,                0.98869,                0.99034,                0.99444,                0.97783,                0.99005,                0.99172,                0.99452,                0.95737,                0.19623,                0.27749,                 0.1644,                0.80604,             0.00041289,             0.00041289,             0.00041289
                     28,                0.23645,                0.30645,                0.25199,                0.83335,                0.98351,                0.99069,                0.99259,                0.97684,                0.98488,                0.99206,                0.99318,                0.95445,                0.19042,                0.27023,                0.16685,                0.80455,             0.00040738,             0.00040738,             0.00040738
                     29,                 0.2339,                0.30771,                0.24408,                 0.8301,                0.99301,                0.99486,                0.99483,                0.98325,                0.99301,                0.99486,                0.99483,                0.95724,                0.18267,                0.26621,                0.15328,                0.80066,             0.00040188,             0.00040188,             0.00040188
                     30,                0.23117,                0.31194,                0.24648,                0.83423,                0.99138,                0.99218,                0.99401,                 0.9833,                0.99138,                0.99218,                0.99401,                0.95952,                0.17975,                0.26718,                 0.1536,                0.80019,             0.00039637,             0.00039637,             0.00039637
                     31,                0.22921,                0.30233,                0.24042,                0.83019,                0.98363,                0.99581,                0.99488,                0.97989,                0.98363,                0.99581,                0.99488,                0.95987,                0.18532,                0.27005,                0.15372,                0.80378,             0.00039087,             0.00039087,             0.00039087
                     32,                0.23022,                0.31216,                 0.2401,                0.82899,                 0.9827,                 0.9939,                0.99473,                0.98315,                 0.9827,                 0.9939,                0.99473,                0.95872,                 0.1856,                0.26221,                0.15713,                0.80011,             0.00038536,             0.00038536,             0.00038536
                     33,                0.22915,                0.31022,                0.23602,                0.83296,                0.98358,                0.99461,                 0.9945,                0.98196,                0.98358,                0.99461,                 0.9945,                0.95747,                0.18179,                0.26532,                0.15359,                0.80354,             0.00037986,             0.00037986,             0.00037986
                     34,                0.22629,                0.29632,                 0.2296,                0.82829,                0.96953,                0.98226,                0.99299,                0.98118,                0.96953,                0.98226,                0.99299,                0.95515,                0.18154,                0.26913,                0.18307,                0.80167,             0.00037435,             0.00037435,             0.00037435
                     35,                0.22088,                 0.2962,                0.23081,                0.82446,                0.98849,                0.98444,                0.99439,                0.98318,                0.98849,                0.98444,                0.99439,                0.95629,                0.17589,                  0.262,                0.15614,                0.79564,             0.00036885,             0.00036885,             0.00036885
                     36,                0.22211,                0.29928,                0.23128,                 0.8278,                0.98561,                0.98527,                0.99455,                0.98379,                0.98561,                0.98527,                0.99455,                0.96221,                0.17595,                0.26302,                0.15837,                 0.7945,             0.00036335,             0.00036335,             0.00036335
                     37,                0.22601,                0.30612,                0.22454,                0.82802,                0.99113,                0.99375,                0.99473,                0.98285,                0.99113,                0.99375,                0.99473,                0.95932,                0.17224,                0.25861,                0.14429,                0.79657,             0.00035784,             0.00035784,             0.00035784
