                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49151,                 1.1129,                 2.7508,                0.96226,                0.68685,                0.67279,                0.68909,                0.65114,                0.68625,                0.67154,                0.68704,                0.63342,                0.30462,                0.50138,                 1.1994,                0.86093,             0.00018058,             0.00018058,             0.00018058
                      2,                0.33315,                0.47798,                0.86797,                0.87116,                0.88683,                0.89507,                0.93283,                0.89784,                0.88856,                0.89701,                 0.9347,                0.88287,                0.26198,                0.38453,                0.49474,                0.82948,             0.00024516,             0.00024516,             0.00024516
                      3,                 0.2968,                0.42097,                0.58951,                0.85636,                0.94707,                0.92005,                0.96541,                0.93672,                0.94006,                0.92651,                0.96613,                0.91362,                0.23617,                0.34209,                0.38457,                0.81998,             0.00018742,             0.00018742,             0.00018742
